Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
12822960661,"Nov 4, 2024, 6:56:03 PM",Afternoon Run,Run,,558,1.78,,,false,,,activities/12822960661.gpx,,,558.0,558.0,1787.0999755859375,4.260000228881836,3.202688217163086,29.68424415588379,29.68424415588379,521.0,540.9000244140625,12.878787994384766,0.3972916901111603,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1872.0999755859375,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.202688217163086,840.9000244140625,,,,,,,,,3.355017900466919,,,""
12830704959,"Nov 5, 2024, 6:07:52 PM",Afternoon Run,Run,,1071,3.00,,,false,,,activities/12830704959.gpx,,,1071.0,1071.0,3005.300048828125,4.179999828338623,2.8060691356658936,66.90613555908203,66.90613555908203,522.0999755859375,563.9000244140625,15.178571701049805,-0.009982364252209663,,,,,,,,,223.90260314941406,,,,,,,,,,,,,,0.0,,0.0,,1.0,3141.89990234375,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.8060691356658936,255.89999389648438,,,,,,,,,2.9336135387420654,,,""
12852193909,"Nov 8, 2024, 2:05:51 PM",Lunch Run,Run,,649,2.03,,,false,,,activities/12852193909.gpx,,,649.0,646.0,2038.5999755859375,5.019999980926514,3.1557276248931885,41.68407440185547,41.68407440185547,511.1000061035156,538.0,12.698412895202637,-0.08339056372642517,,,,,,,,,151.67710876464844,,,,,,,,,,,,,,0.0,,0.0,,1.0,2128.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.1411402225494385,598.0,,,,,,,,,3.294736862182617,,,""
12865579807,"Nov 10, 2024, 9:23:29 AM",The best run,Run,"",1498,4.96,,,false,,,activities/12865579807.gpx,,,1498.0,1498.0,4959.2998046875,5.28000020980835,3.3106141090393066,24.458921432495117,24.458921432495117,531.2999877929688,545.7999877929688,5.599999904632568,-0.018147721886634827,,,,,,,,,355.2482604980469,,,,,,,,,,,,,,0.0,,0.0,,1.0,4985.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.3106141090393066,3279.0,,,,,,,,,3.327770471572876,,,""
12877213568,"Nov 11, 2024, 5:33:17 PM",Afternoon Walk,Walk,,724,1.13,,,false,,,activities/12877213568.gpx,,,724.0,724.0,1132.5999755859375,2.380000114440918,1.5643646717071533,28.890947341918945,28.890947341918945,551.0,580.5,8.333333015441895,2.039555072784424,,,66.0,53.125,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.5643646717071533,0.0,,,,1276.0,,,,,,,,""
12934824552,"Nov 19, 2024, 9:04:39 AM",Morning Run,Run,,573,1.74,,,false,,,activities/12934824552.gpx,,,573.0,573.0,1746.699951171875,4.199999809265137,3.048341989517212,17.158750534057617,17.158750534057617,521.0,540.9000244140625,18.80341911315918,-0.22327817976474762,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1790.199951171875,1732006784.0,3.0,21.1299991607666,22.219999313354492,16.940000534057617,0.7699999809265137,1010.3800048828125,0.7699999809265137,1.440000057220459,159.0,0.0,1732005120.0,1732052992.0,0.625,,,0.0,1.0,0.8999999761581421,24294.0,0.0,,,,,0.0,3.048341989517212,962.2000122070312,,,,,,,,,3.124258279800415,,,""
12934907172,"Nov 19, 2024, 9:24:37 AM",Morning Run,Run,,494,1.48,,,false,,,activities/12934907172.gpx,,,494.0,485.0,1484.4000244140625,3.819999933242798,3.0606186389923096,2.1579365730285645,2.1579365730285645,522.0999755859375,544.0999755859375,8.333333015441895,-1.3069254159927368,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1457.800048828125,1732006784.0,3.0,21.1299991607666,22.219999313354492,16.940000534057617,0.7699999809265137,1010.3800048828125,0.7699999809265137,1.440000057220459,159.0,0.0,1732005120.0,1732052992.0,0.625,,,0.0,1.0,0.8999999761581421,24294.0,0.0,,,,,0.0,3.0048582553863525,0.0,,,,,,,,,3.0057733058929443,,,""
12993192103,"Nov 27, 2024, 8:51:46 AM",Morning Run,Run,,633,1.59,,,false,,,activities/12993192103.gpx,,,633.0,629.0,1589.4000244140625,3.0999999046325684,2.5268681049346924,27.73160171508789,27.73160171508789,511.1000061035156,536.5,7.692307472229004,-0.45929282903671265,,,,,,,,,116.28055572509766,,,,,,,,,,,,,,0.0,,0.0,,1.0,1631.699951171875,1732694400.0,2.0,23.209999084472656,23.780000686645508,17.209999084472656,0.6899999976158142,1009.219970703125,0.8700000047683716,1.809999942779541,11.0,0.0,1732696192.0,1732744448.0,0.875,,,0.0,1.0,0.38999998569488525,34251.0,0.0,,,,,0.0,2.5109004974365234,507.3999938964844,,,,,,,,,2.5941176414489746,,,""
13020937150,"Dec 1, 2024, 8:53:58 AM",Morning Run,Run,"",1071,3.06,,,false,,,activities/13020937150.gpx,,,1071.0,1071.0,3063.800048828125,4.199999809265137,2.8606908321380615,61.550758361816406,50.35899353027344,538.2999877929688,574.9000244140625,10.810811042785645,0.38514262437820435,,,,,,,,,229.47540283203125,,,,,,,,,,,,,,0.0,,0.0,,1.0,3220.10009765625,1733040000.0,3.0,21.65999984741211,21.6200008392334,19.770000457763672,0.8899999856948853,1011.2999877929688,3.0999999046325684,6.690000057220459,99.0,0.0,1733041792.0,1733090304.0,0.0,,,0.0,1.0,0.800000011920929,24993.0,0.0,,,,,0.0,2.8606908321380615,691.2000122070312,,,,,,,,,3.006629228591919,,,""
13049024241,"Dec 5, 2024, 12:03:21 AM",Night Run,Run,"",867,2.79,,,false,,,activities/13049024241.gpx,,,867.0,867.0,2792.800048828125,6.21999979019165,3.2212226390838623,12.10614013671875,10.516666412353516,565.9000244140625,575.5,9.090909004211426,0.12890289723873138,,,98.0,77.21668243408203,,,,,200.70635986328125,,,,,,,,,,,,,,0.0,,0.0,,1.0,2816.39990234375,1733356800.0,3.0,21.899999618530273,20.6299991607666,17.889999389648438,0.7799999713897705,1011.760009765625,4.340000152587891,9.369999885559082,98.0,0.0,1733300992.0,1733349632.0,0.125,,,0.7599999904632568,5.0,0.8999999761581421,32167.0,0.0,,,,,0.0,3.2212226390838623,1662.199951171875,,,,2230.0,,,,,3.2484428882598877,,,""
13061618086,"Dec 6, 2024, 10:33:38 PM",Evening Run,Run,,374,1.13,,,false,,,activities/13061618086.gpx,,,374.0,374.0,1138.5999755859375,3.9200000762939453,3.0443849563598633,32.02742385864258,32.02742385864258,540.0,571.0,10.958904266357422,0.4391357898712158,,,84.0,76.88919067382812,,,,,87.38323211669922,,,,,,,,,,,,,,0.0,,0.0,,1.0,1226.199951171875,1733522432.0,3.0,27.059999465942383,28.389999389648438,21.350000381469727,0.7099999785423279,1008.0,1.6200000047683716,4.269999980926514,332.0,0.0,1733473792.0,1733522432.0,0.125,,,0.6399999856948853,5.0,1.0,32923.0,0.0,,,,,0.0,3.0443849563598633,164.5,,,,950.0,,,,,3.27860951423645,,,""
13094966037,"Dec 11, 2024, 6:51:26 PM",Afternoon Run,Run,,262,0.82,,,false,,,activities/13094966037.gpx,,,262.0,262.0,826.7999877929688,4.760000228881836,3.1557252407073975,6.381249904632568,6.381249904632568,565.5999755859375,575.5,3.539823055267334,-0.41122400760650635,,,91.0,78.11475372314453,,,,,58.79233932495117,,,,,,,,,,,,,,0.0,,0.0,,1.0,825.0,1733939968.0,1.0,29.459999084472656,31.190000534057617,18.270000457763672,0.5099999904632568,1010.02001953125,1.6799999475479126,4.909999847412109,98.0,0.0,1733905920.0,1733954688.0,0.375,,,0.0,1.0,0.3199999928474426,32671.0,7.0,,,,,0.0,3.1557252407073975,799.7999877929688,,,,674.0,,,,,3.148854970932007,,,""
13095264720,"Dec 11, 2024, 7:33:07 PM",Afternoon Run,Run,,220,0.70,,,false,,,activities/13095264720.gpx,,,220.0,220.0,700.7000122070312,4.179999828338623,3.184999942779541,0.0,0.0,569.0,575.5,2.17391300201416,-0.7563864588737488,,,84.0,78.12980651855469,,,,,49.300048828125,,,,,,,,,,,,,,0.0,,0.0,,1.0,691.7999877929688,1733943552.0,1.0,29.610000610351562,32.369998931884766,18.399999618530273,0.5099999904632568,1009.3300170898438,1.6799999475479126,5.349999904632568,101.0,0.0,1733905920.0,1733954688.0,0.375,,,0.0,1.0,0.0,35228.0,4.0,,,,,0.0,3.184999942779541,700.7000122070312,,,,564.0,,,,,3.144545555114746,,,""
13103278124,"Dec 12, 2024, 10:42:18 PM",Evening Run,Run,,426,1.37,,,false,,,activities/13103278124.gpx,,,426.0,426.0,1377.5,4.28000020980835,3.2335681915283203,27.427303314208984,27.427303314208984,534.2999877929688,571.0,15.151515007019043,-0.5081669688224792,,,84.0,77.26128387451172,,,,,101.50764465332031,,,,,,,,,,,,,,0.0,,0.0,,1.0,1424.4000244140625,1734040832.0,3.0,26.049999237060547,26.399999618530273,16.8700008392334,0.5699999928474426,1009.4099731445312,2.069999933242798,6.46999979019165,99.0,0.0,1733992320.0,1734041088.0,0.375,,,0.0,1.0,1.0,34127.0,0.0,,,,,0.0,3.2335681915283203,66.5999984741211,,,,1094.0,,,,,3.3436620235443115,,,""
13109730800,"Dec 13, 2024, 9:52:41 PM",Evening Run,Run,,1886,5.19,,,false,,,activities/13109730800.gpx,,,1886.0,1868.0,5190.60009765625,3.880000114440918,2.778693675994873,63.41166687011719,63.41166687011719,499.6000061035156,571.0,16.129032135009766,-0.1155935749411583,,,89.0,78.57974243164062,,,,,376.6771545410156,,,,,,,,,,,,,,0.0,,0.0,,1.0,5285.7001953125,1734123648.0,3.0,25.979999542236328,26.600000381469727,19.850000381469727,0.6899999976158142,1007.4099731445312,1.9199999570846558,4.170000076293945,65.0,1.5499999523162842,1734078720.0,1734127488.0,0.375,,,0.4699999988079071,5.0,0.8700000047683716,27522.0,0.0,,,,,0.0,2.752173900604248,349.8999938964844,,,,4894.0,,,,,2.829603910446167,,,""
13119384020,"Dec 15, 2024, 10:10:28 AM",Vale Verde Run,Run,"",1505,5.11,,,false,,,activities/13119384020.gpx,,,1505.0,1502.0,5114.0,4.300000190734863,3.4047935009002686,37.036643981933594,38.28909683227539,531.5,548.4000244140625,15.44715404510498,0.011732499115169048,,,109.0,79.7877197265625,,,,,370.1138000488281,,,,,,,,,,,,,,0.0,,0.0,,1.0,5193.60009765625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.3980066776275635,4229.60009765625,,,,3996.0,,,,,3.457789659500122,,,""
